date,station,special,first,second,third,fourth,fifth,sixth,seventh,eighth
2026-04-13,12/04/2026,878653,29371,63011,"87746, 73391","17701, 82340, 46935, 23528, 96803, 47018, 65014",9862,"7861, 4841, 0910",175,03
2026-04-13,13/04/2026,705900,17913,05319,"80514, 80333","29666, 95969, 28143, 87122, 87282, 96264, 83985",0260,"5351, 1560, 4074",412,04
2026-04-13,Khánh Hòa,243524,70476,99482,"76867, 76983","19849, 01141, 05077, 86647, 30039, 85452, 68814",9817,"6469, 0928, 9060",467,24
2026-04-13,Kon Tum,259939,22283,78002,"54335, 63721","27982, 16712, 95942, 85278, 75090, 84557, 31846",7130,"4855, 5784, 3606",183,39
2026-04-13,Phú Yên,524115,24327,34106,"72830, 41721","33389, 92805, 37388, 49181, 23090, 12159, 54579",0962,"2329, 1942, 8380",847,80
2026-04-13,Quảng Ngãi,443100,56417,17067,"81836, 27678","85123, 95943, 11346, 01179, 94971, 02466, 35331",7230,"1871, 7291, 3119",119,92
2026-04-13,Đà Nẵng,115128,48155,25851,"95122, 79489","85940, 85075, 03108, 10504, 37323, 62007, 23832",4741,"8003, 5666, 3806",190,12
2026-04-14,12/04/2026,878653,29371,63011,"87746, 73391","17701, 82340, 46935, 23528, 96803, 47018, 65014",9862,"7861, 4841, 0910",175,03
2026-04-14,13/04/2026,705900,17913,05319,"80514, 80333","29666, 95969, 28143, 87122, 87282, 96264, 83985",0260,"5351, 1560, 4074",412,04
2026-04-14,Khánh Hòa,243524,70476,99482,"76867, 76983","19849, 01141, 05077, 86647, 30039, 85452, 68814",9817,"6469, 0928, 9060",467,24
2026-04-14,Kon Tum,259939,22283,78002,"54335, 63721","27982, 16712, 95942, 85278, 75090, 84557, 31846",7130,"4855, 5784, 3606",183,39
2026-04-14,Phú Yên,524115,24327,34106,"72830, 41721","33389, 92805, 37388, 49181, 23090, 12159, 54579",0962,"2329, 1942, 8380",847,80
2026-04-14,Quảng Nam,359577,10198,10783,"99420, 58991","52672, 58248, 86044, 32401, 51839, 91773, 52346",0304,"8921, 7697, 2023",942,75
2026-04-14,Đắk Lắk,426865,67739,86787,"88064, 65078","39353, 26395, 52852, 98629, 64576, 50630, 04830",3376,"8878, 3092, 0961",742,13
2026-04-15,13/04/2026,705900,17913,05319,"80514, 80333","29666, 95969, 28143, 87122, 87282, 96264, 83985",0260,"5351, 1560, 4074",412,04
2026-04-15,Khánh Hòa,665456,22308,67088,"02256, 51834","10783, 26573, 55511, 95617, 94206, 29692, 46252",1402,"3849, 7188, 8671",049,80
2026-04-15,Phú Yên,524115,24327,34106,"72830, 41721","33389, 92805, 37388, 49181, 23090, 12159, 54579",0962,"2329, 1942, 8380",847,80
2026-04-15,Quảng Nam,359577,10198,10783,"99420, 58991","52672, 58248, 86044, 32401, 51839, 91773, 52346",0304,"8921, 7697, 2023",942,75
2026-04-15,Đà Nẵng,424885,45337,15405,"24176, 98352","68967, 66082, 51347, 52280, 37284, 63029, 44449",8685,"4529, 9214, 0629",074,47
2026-04-15,Đắk Lắk,426865,67739,86787,"88064, 65078","39353, 26395, 52852, 98629, 64576, 50630, 04830",3376,"8878, 3092, 0961",742,13
2026-04-16,Bình Định,936497,47148,16121,"14517, 44343","47523, 61985, 84690, 48078, 18519, 83536, 83901",7239,"1979, 5767, 3967",244,55
2026-04-16,Khánh Hòa,665456,22308,67088,"02256, 51834","10783, 26573, 55511, 95617, 94206, 29692, 46252",1402,"3849, 7188, 8671",049,80
2026-04-16,Quảng Bình,188509,76065,93587,"09074, 36235","71557, 23797, 67103, 88198, 99377, 48302, 33891",0826,"8532, 6956, 8289",980,30
2026-04-16,Quảng Nam,359577,10198,10783,"99420, 58991","52672, 58248, 86044, 32401, 51839, 91773, 52346",0304,"8921, 7697, 2023",942,75
2026-04-16,Quảng Trị,451920,61984,02466,"76302, 32986","76834, 92984, 38597, 96284, 41333, 63173, 65834",2200,"2908, 7713, 2383",047,81
2026-04-16,Đà Nẵng,424885,45337,15405,"24176, 98352","68967, 66082, 51347, 52280, 37284, 63029, 44449",8685,"4529, 9214, 0629",074,47
2026-04-16,Đắk Lắk,426865,67739,86787,"88064, 65078","39353, 26395, 52852, 98629, 64576, 50630, 04830",3376,"8878, 3092, 0961",742,13
2026-04-17,Bình Định,936497,47148,16121,"14517, 44343","47523, 61985, 84690, 48078, 18519, 83536, 83901",7239,"1979, 5767, 3967",244,55
2026-04-17,Gia Lai,286307,00505,21023,"34342, 22010","36250, 16882, 44277, 82542, 17306, 16227, 34965",9052,"3309, 8953, 8902",929,49
2026-04-17,Khánh Hòa,665456,22308,67088,"02256, 51834","10783, 26573, 55511, 95617, 94206, 29692, 46252",1402,"3849, 7188, 8671",049,80
2026-04-17,Ninh Thuận,541793,40973,12319,"38006, 70564","00449, 12733, 64932, 05755, 64379, 46007, 36975",6592,"5514, 8314, 0607",034,06
2026-04-17,Quảng Bình,188509,76065,93587,"09074, 36235","71557, 23797, 67103, 88198, 99377, 48302, 33891",0826,"8532, 6956, 8289",980,30
2026-04-17,Quảng Trị,451920,61984,02466,"76302, 32986","76834, 92984, 38597, 96284, 41333, 63173, 65834",2200,"2908, 7713, 2383",047,81
2026-04-17,Đà Nẵng,424885,45337,15405,"24176, 98352","68967, 66082, 51347, 52280, 37284, 63029, 44449",8685,"4529, 9214, 0629",074,47
2026-04-18,18/04/2026,150040,30672,51790,"13948, 20742","45355, 43002, 97408, 75683, 22963, 00038, 93037",5597,"9183, 8717, 2090",345,26
2026-04-18,Bình Định,936497,47148,16121,"14517, 44343","47523, 61985, 84690, 48078, 18519, 83536, 83901",7239,"1979, 5767, 3967",244,55
2026-04-18,Gia Lai,286307,00505,21023,"34342, 22010","36250, 16882, 44277, 82542, 17306, 16227, 34965",9052,"3309, 8953, 8902",929,49
