date,station,special,first,second,third,fourth,fifth,sixth,seventh,eighth
2008-01-12,Hồ Chí Minh,62622,45895,48917,"39369, 91727","82028, 61945, 03797, 14477, 34309, 32010, 09998",2526,"9116, 3396, 7699",054,67
2008-01-12,Long An,92705,11463,50967,"66452, 20125","16364, 10685, 27509, 97184, 19282, 53569, 27321",5068,"8383, 8142, 0336",752,52
2008-01-12,Trà Vinh,20556,92571,02572,"80891, 83150","91780, 74447, 73115, 46801, 37025, 42944, 32921",8081,"3568, 8604, 7764",373,54
2008-01-12,Vĩnh Long,08784,78876,82796,"02400, 99554","02666, 60464, 84958, 11154, 54442, 79186, 83443",9712,"1322, 8312, 3307",152,42
2008-01-13,13/01/2008,67143,39489,68118,"38684, 27247","62583, 56477, 42939, 48834, 29479, 92516, 71823",7808,"1879, 6595, 3110",566,70
2008-01-13,Bình Phước,67537,48080,50492,"95883, 06615","91559, 05057, 73265, 99800, 92325, 68568, 22757",6911,"2100, 0887, 2687",120,13
2008-01-13,Hồ Chí Minh,62622,45895,48917,"39369, 91727","82028, 61945, 03797, 14477, 34309, 32010, 09998",2526,"9116, 3396, 7699",054,67
2008-01-13,Long An,92705,11463,50967,"66452, 20125","16364, 10685, 27509, 97184, 19282, 53569, 27321",5068,"8383, 8142, 0336",752,52
2008-01-13,Tiền Giang,88329,05695,34601,"96544, 08073","57473, 05297, 14523, 38827, 42593, 42358, 48748",6659,"8218, 4926, 9024",652,41
2008-01-13,Đồng Tháp,41845,34721,28435,"26888, 04772","63915, 20539, 34049, 30128, 07198, 51776, 16568",9996,"1115, 7882, 8583",522,59
2008-01-14,13/01/2008,67143,39489,68118,"38684, 27247","62583, 56477, 42939, 48834, 29479, 92516, 71823",7808,"1879, 6595, 3110",566,70
2008-01-14,Cà Mau,71771,72638,83846,"55739, 39936","99137, 41725, 55162, 35621, 41007, 79563, 57997",6576,"9352, 8373, 9871",127,51
2008-01-14,Hồ Chí Minh,62628,71456,68751,"57684, 62882","84333, 02418, 12442, 04433, 23490, 17132, 31683",6577,"0843, 0916, 9218",004,45
2008-01-14,Tiền Giang,88329,05695,34601,"96544, 08073","57473, 05297, 14523, 38827, 42593, 42358, 48748",6659,"8218, 4926, 9024",652,41
2008-01-14,Đồng Tháp,41845,34721,28435,"26888, 04772","63915, 20539, 34049, 30128, 07198, 51776, 16568",9996,"1115, 7882, 8583",522,59
2008-01-15,Bến Tre,71299,17598,50280,"45796, 80389","66579, 10225, 07682, 63355, 83012, 88858, 45888",6972,"2538, 6127, 6926",998,90
2008-01-15,Cà Mau,71771,72638,83846,"55739, 39936","99137, 41725, 55162, 35621, 41007, 79563, 57997",6576,"9352, 8373, 9871",127,51
2008-01-15,Hồ Chí Minh,62628,71456,68751,"57684, 62882","84333, 02418, 12442, 04433, 23490, 17132, 31683",6577,"0843, 0916, 9218",004,45
2008-01-15,Vũng Tàu,87962,38154,87912,"15773, 05214","72717, 75218, 63990, 62811, 64889, 58754, 16509",4034,"1477, 1811, 6837",107,20
2008-01-15,Đồng Tháp,49403,87477,41370,"24424, 35396","12706, 76303, 98367, 83329, 96708, 89672, 60970",1001,"0022, 6264, 4630",787,76
2008-01-16,Bến Tre,71299,17598,50280,"45796, 80389","66579, 10225, 07682, 63355, 83012, 88858, 45888",6972,"2538, 6127, 6926",998,90
2008-01-16,Cần Thơ,06554,45090,72911,"30968, 53723","65948, 59536, 65615, 35004, 95520, 11478, 69832",5566,"4031, 7998, 6864",108,60
2008-01-16,Sóc Trăng,65619,12156,97502,"34292, 38201","71326, 81905, 73142, 39152, 84456, 10970, 23420",7573,"2506, 3229, 7046",382,92
2008-01-16,Vũng Tàu,87962,38154,87912,"15773, 05214","72717, 75218, 63990, 62811, 64889, 58754, 16509",4034,"1477, 1811, 6837",107,20
2008-01-16,Đồng Tháp,89232,18974,99246,"88006, 97520","25341, 57158, 06777, 42400, 01930, 02206, 68323",3261,"9233, 5846, 3394",717,51
2008-01-18,An Giang,76405,87876,86195,"65437, 87233","98241, 68856, 08051, 20622, 96602, 07266, 50164",4179,"2430, 2840, 2608",621,65
2008-01-18,Bình Thuận,99520,45582,32166,"47367, 92612","60587, 87311, 40104, 98636, 55828, 99666, 26581",1356,"7701, 9941, 8139",449,30
2008-01-18,Bến Tre,26325,18159,72221,"43753, 01199","02010, 86318, 32571, 33787, 67322, 56058, 48221",1091,"1756, 0406, 0662",377,85
2008-01-18,Tiền Giang,75335,76459,65613,"63520, 17577","88749, 18439, 06997, 14895, 57248, 59077, 17387",9790,"8720, 8068, 5217",104,07
